Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,HS00BOT01A,Ethernet49,firewall,ISMTMGPAN48,Eth1/13,True
l2leaf,HS00BOT01A,Ethernet50,firewall,ISMTMGPAN49,Eth1/13,True
l2leaf,HS00BOT02A,Ethernet49,firewall,ISMTMGPAN48,Eth1/13,True
l2leaf,HS00BOT02A,Ethernet50,firewall,ISMTMGPAN49,Eth1/13,True
l2leaf,HSMDMZ100A,Ethernet49,router,IOT-Router1,Eth0,True
l2leaf,HSMDMZ100A,Ethernet50,router,IOT-Router2,Eth0,True
l2leaf,HSMDMZ100A,Ethernet51,firewall,ISMPAN98,Eth13,True
l2leaf,HSMDMZ100A,Ethernet52,firewall,ISMPAN99,Eth13,True
l2leaf,HSMDMZ100A,Ethernet55,mlag_peer,HSMDMZ101A,Ethernet55,True
l2leaf,HSMDMZ100A,Ethernet56,mlag_peer,HSMDMZ101A,Ethernet56,True
l2leaf,HSMDMZ101A,Ethernet49,router,IOT-Router1,Eth1,True
l2leaf,HSMDMZ101A,Ethernet50,router,IOT-Router2,Eth1,True
l2leaf,HSMDMZ101A,Ethernet51,firewall,ISMPAN98,Eth14,True
l2leaf,HSMDMZ101A,Ethernet52,firewall,ISMPAN99,Eth14,True
l2leaf,HSMDMZ101A,Ethernet55,mlag_peer,HSMDMZ100A,Ethernet55,True
l2leaf,HSMDMZ101A,Ethernet56,mlag_peer,HSMDMZ100A,Ethernet56,True
l2leaf,HSMVND01A,Ethernet1/1,firewall,ISMTMGPAN48,Eth1/25,True
l2leaf,HSMVND01A,Ethernet2/1,firewall,ISMTMGPAN49,Eth1/25,True
l2leaf,HSMWAN40A,Ethernet1,firewall,ISMTMGPAN40,Eth1/21,True
l2leaf,HSMWAN40A,Ethernet2,firewall,ISMTMGPAN41,Eth1/21,True
l2leaf,HSMWAN40A,Ethernet5,firewall,ISMMGTPAN01,Eth1/13,True
l2leaf,HSMWAN40A,Ethernet6,firewall,ISMMGTPAN02,Eth1/13,True
l2leaf,HSMWAN40A,Ethernet11,router,ISMWAN40,Eth0,True
l2leaf,HSMWAN40A,Ethernet12,router,ISMWAN41,Eth0,True
l2leaf,HSMWAN40A,Ethernet55/1,mlag_peer,HSMWAN41A,Ethernet55/1,True
l2leaf,HSMWAN40A,Ethernet56/1,mlag_peer,HSMWAN41A,Ethernet56/1,True
l2leaf,HSMWAN41A,Ethernet1,firewall,ISMTMGPAN40,Eth1/22,True
l2leaf,HSMWAN41A,Ethernet2,firewall,ISMTMGPAN41,Eth1/22,True
l2leaf,HSMWAN41A,Ethernet5,firewall,ISMMGTPAN01,Eth1/14,True
l2leaf,HSMWAN41A,Ethernet6,firewall,ISMMGTPAN02,Eth1/14,True
l2leaf,HSMWAN41A,Ethernet11,router,ISMWAN40,Eth1,True
l2leaf,HSMWAN41A,Ethernet12,router,ISMWAN41,Eth1,True
l2leaf,HSMWAN41A,Ethernet55/1,mlag_peer,HSMWAN40A,Ethernet55/1,True
l2leaf,HSMWAN41A,Ethernet56/1,mlag_peer,HSMWAN40A,Ethernet56/1,True
l3leaf,ISMCR01A,Ethernet3/1/1,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/1/1.20,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/1/1.100,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/2/1,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/2/1.20,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/2/1.100,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/3/1,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/3/1.30,l3_interface,,,True
l3leaf,ISMCR01A,Ethernet3/3/1.40,l3_interface,,,True
