Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,hs00bot01a,Ethernet49,firewall,ismtmgpan48,Eth1/13,True
l2leaf,hs00bot01a,Ethernet50,firewall,ismtmgpan49,Eth1/13,True
l2leaf,hs00bot02a,Ethernet49,firewall,ismtmgpan48,Eth1/13,True
l2leaf,hs00bot02a,Ethernet50,firewall,ismtmgpan49,Eth1/13,True
l2leaf,hsmdmz100a,Ethernet49,circuits,CSMISP02,ISP#1 Circuit,True
l2leaf,hsmdmz100a,Ethernet51,firewall,ismpan98,Eth13,True
l2leaf,hsmdmz100a,Ethernet52,firewall,ismpan99,Eth13,True
l2leaf,hsmdmz101a,Ethernet51,firewall,ismpan98,Eth14,True
l2leaf,hsmdmz101a,Ethernet52,firewall,ismpan99,Eth14,True
l2leaf,hsmvnd01A,Ethernet1/1,firewall,ismtmgpan48,Eth1/25,True
l2leaf,hsmvnd01A,Ethernet2/1,firewall,ismtmgpan49,Eth1/25,True
l2leaf,hsmwan40a,Ethernet43,firewall,ismmgtpan01,Eth1/13,True
l2leaf,hsmwan40a,Ethernet44,firewall,ismmgtpan02,Eth1/13,True
l2leaf,hsmwan40a,Ethernet45,firewall,ismpan98,Eth1/15,True
l2leaf,hsmwan40a,Ethernet46,firewall,ismpan99,Eth1/15,True
l2leaf,hsmwan40a,Ethernet47,router,ismrr40,Te0/0/5,True
l2leaf,hsmwan40a,Ethernet48,router,ismrr41,Te0/0/5,True
l2leaf,hsmwan40a,Ethernet49/1,firewall,ismtmgpan40,Eth1/21,True
l2leaf,hsmwan40a,Ethernet50/1,firewall,ismtmgpan41,Eth1/21,True
l2leaf,hsmwan41a,Ethernet43,firewall,ismmgtpan01,Eth1/14,True
l2leaf,hsmwan41a,Ethernet44,firewall,ismmgtpan02,Eth1/14,True
l2leaf,hsmwan41a,Ethernet45,firewall,ismpan98,Eth1/16,True
l2leaf,hsmwan41a,Ethernet46,firewall,ismpan99,Eth1/16,True
l2leaf,hsmwan41a,Ethernet47,router,ismrr40,Te0/0/9,True
l2leaf,hsmwan41a,Ethernet48,router,ismrr41,Te0/0/9,True
l2leaf,hsmwan41a,Ethernet49/1,firewall,ismtmgpan40,Eth1/22,True
l2leaf,hsmwan41a,Ethernet50/1,firewall,ismtmgpan41,Eth1/22,True
l3leaf,ismcr01a,Ethernet3/1/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/1/1.510,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/1/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1.510,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1.525,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1.633,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.525,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.581,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.589,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/5/1,firewall,ismtmgpan40,Ethernet1/41,True
l3leaf,ismcr01a,Ethernet3/48/1,mlag_peer,ismcr02a,Ethernet3/48/1,True
l3leaf,ismcr01a,Ethernet4/1/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet4/1/1.510,l3_interface,,,True
l3leaf,ismcr01a,Ethernet4/1/1.533,l3_interface,,,True
