Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-BL1,Ethernet1,192.168.1.25/31,spine,DC1-SP1,Ethernet7,192.168.1.24/31
l3leaf,DC1-BL1,Ethernet2,192.168.1.27/31,spine,DC1-SP2,Ethernet7,192.168.1.26/31
l3leaf,DC1-BL1,Ethernet4,192.168.3.0/31,l3leaf,DC2-BL1,Ethernet4,192.168.3.1/31
l3leaf,DC1-BL2,Ethernet1,192.168.1.29/31,spine,DC1-SP1,Ethernet8,192.168.1.28/31
l3leaf,DC1-BL2,Ethernet2,192.168.1.31/31,spine,DC1-SP2,Ethernet8,192.168.1.30/31
l3leaf,DC1-BL2,Ethernet4,192.168.3.2/31,l3leaf,DC2-BL2,Ethernet4,192.168.3.3/31
l3leaf,DC1-CL1,Ethernet1,192.168.1.1/31,spine,DC1-SP1,Ethernet1,192.168.1.0/31
l3leaf,DC1-CL1,Ethernet2,192.168.1.3/31,spine,DC1-SP2,Ethernet1,192.168.1.2/31
l3leaf,DC1-CL2,Ethernet1,192.168.1.5/31,spine,DC1-SP1,Ethernet2,192.168.1.4/31
l3leaf,DC1-CL2,Ethernet2,192.168.1.7/31,spine,DC1-SP2,Ethernet2,192.168.1.6/31
l3leaf,DC1-CL3,Ethernet1,192.168.1.9/31,spine,DC1-SP1,Ethernet3,192.168.1.8/31
l3leaf,DC1-CL3,Ethernet2,192.168.1.11/31,spine,DC1-SP2,Ethernet3,192.168.1.10/31
l3leaf,DC1-CL4,Ethernet1,192.168.1.13/31,spine,DC1-SP1,Ethernet4,192.168.1.12/31
l3leaf,DC1-CL4,Ethernet2,192.168.1.15/31,spine,DC1-SP2,Ethernet4,192.168.1.14/31
l3leaf,DC1-SL1,Ethernet1,192.168.1.17/31,spine,DC1-SP1,Ethernet5,192.168.1.16/31
l3leaf,DC1-SL1,Ethernet2,192.168.1.19/31,spine,DC1-SP2,Ethernet5,192.168.1.18/31
l3leaf,DC1-SL2,Ethernet1,192.168.1.21/31,spine,DC1-SP1,Ethernet6,192.168.1.20/31
l3leaf,DC1-SL2,Ethernet2,192.168.1.23/31,spine,DC1-SP2,Ethernet6,192.168.1.22/31
l3leaf,DC2-BL1,Ethernet1,192.168.2.17/31,spine,DC2-SP1,Ethernet5,192.168.2.16/31
l3leaf,DC2-BL1,Ethernet2,192.168.2.19/31,spine,DC2-SP2,Ethernet5,192.168.2.18/31
l3leaf,DC2-BL2,Ethernet1,192.168.2.21/31,spine,DC2-SP1,Ethernet6,192.168.2.20/31
l3leaf,DC2-BL2,Ethernet2,192.168.2.23/31,spine,DC2-SP2,Ethernet6,192.168.2.22/31
l3leaf,DC2-CL1,Ethernet1,192.168.2.1/31,spine,DC2-SP1,Ethernet1,192.168.2.0/31
l3leaf,DC2-CL1,Ethernet2,192.168.2.3/31,spine,DC2-SP2,Ethernet1,192.168.2.2/31
l3leaf,DC2-CL2,Ethernet1,192.168.2.5/31,spine,DC2-SP1,Ethernet2,192.168.2.4/31
l3leaf,DC2-CL2,Ethernet2,192.168.2.7/31,spine,DC2-SP2,Ethernet2,192.168.2.6/31
l3leaf,DC2-SL1,Ethernet1,192.168.2.9/31,spine,DC2-SP1,Ethernet3,192.168.2.8/31
l3leaf,DC2-SL1,Ethernet2,192.168.2.11/31,spine,DC2-SP2,Ethernet3,192.168.2.10/31
l3leaf,DC2-SL2,Ethernet1,192.168.2.13/31,spine,DC2-SP1,Ethernet4,192.168.2.12/31
l3leaf,DC2-SL2,Ethernet2,192.168.2.15/31,spine,DC2-SP2,Ethernet4,192.168.2.14/31
