Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,hs00amgt01a,Ethernet1,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet2,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet3,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet4,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet5,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet6,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet7,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet8,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet9,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet10,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet11,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet12,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet13,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet14,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet15,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet16,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet17,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet18,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet19,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet20,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet21,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet22,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet23,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet24,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet25,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet26,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet27,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet28,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet29,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet30,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet31,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet32,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet33,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet34,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet35,network_port,VL462-ADMIN-Mgmt,,True
leaf,hs00amgt01a,Ethernet36,network_port,VL462-ADMIN-Mgmt,,True
