Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,hs00amgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs00amgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet5/5,True
leaf,hs00amgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet5/5,True
leaf,hs00bmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs00bmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet6/5,True
leaf,hs00bmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet6/5,True
leaf,hs00cmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs00cmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet7/5,True
leaf,hs00cmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet7/5,True
leaf,hs01amgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs01amgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/6,True
leaf,hs01amgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/6,True
leaf,hs01bmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs01bmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/6,True
leaf,hs01bmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/6,True
leaf,hs01cmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs01cmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet5/6,True
leaf,hs01cmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet5/6,True
leaf,hs02amgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs02amgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet6/6,True
leaf,hs02amgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet6/6,True
leaf,hs02bmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs02bmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet7/6,True
leaf,hs02bmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet7/6,True
leaf,hs03amgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs03amgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/7,True
leaf,hs03amgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/7,True
leaf,hs03bmgt01a,Ethernet1-48,server,ADMIN-MGMT-LEAF-Host,,True
leaf,hs03bmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/7,True
leaf,hs03bmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/7,True
leaf,hs11amgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/2,True
leaf,hs11amgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/2,True
leaf,hs11amgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11amgt02a,Ethernet49,l3spine,ismmgtsp01a,Ethernet5/2,True
leaf,hs11amgt02a,Ethernet50,l3spine,ismmgtsp02a,Ethernet5/2,True
leaf,hs11amgt02a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11bemgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/4,True
leaf,hs11bemgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/4,True
leaf,hs11bemgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11cmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet7/1,True
leaf,hs11cmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet7/1,True
leaf,hs11cmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11cmgt21a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/2,True
leaf,hs11cmgt21a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/2,True
leaf,hs11cmgt21a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11cwmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/3,True
leaf,hs11cwmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/3,True
leaf,hs11cwmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11demgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet7/3,True
leaf,hs11demgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet7/3,True
leaf,hs11demgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11ewmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/3,True
leaf,hs11ewmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/3,True
leaf,hs11ewmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11gmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet5/1,True
leaf,hs11gmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet5/1,True
leaf,hs11gmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11gmgt02a,Ethernet49,l3spine,ismmgtsp01a,Ethernet6/1,True
leaf,hs11gmgt02a,Ethernet50,l3spine,ismmgtsp02a,Ethernet6/1,True
leaf,hs11gmgt02a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11gwmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet7/2,True
leaf,hs11gwmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet7/2,True
leaf,hs11gwmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11hemgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet6/3,True
leaf,hs11hemgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet6/3,True
leaf,hs11hemgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11jmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet3/1,True
leaf,hs11jmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet3/1,True
leaf,hs11jmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11jmgt02a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/1,True
leaf,hs11jmgt02a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/1,True
leaf,hs11jmgt02a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11jwmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet6/2,True
leaf,hs11jwmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet6/2,True
leaf,hs11jwmgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hs11kemgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet5/3,True
leaf,hs11kemgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet5/3,True
leaf,hs11kemgt01a,Ethernet 1-48,server,SM1-MGMT-LEAF-Host,,True
leaf,hsm0wmgt01a,Ethernet49,l3spine,ismmgtsp01a,Ethernet4/4,True
leaf,hsm0wmgt01a,Ethernet50,l3spine,ismmgtsp02a,Ethernet4/4,True
