Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,ISMS1OTSP01A,Ethernet2/1/1,l3leaf,ISMS1OTBL01A,Ethernet25/1,True
spine,ISMS1OTSP01A,Ethernet2/2/1,l3leaf,HS11GOTAGG03A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet2/3/1,l3leaf,HS11AOTAGG03A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet2/4/1,l3leaf,HS11CWOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet2/5/1,l3leaf,HS11BEOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet3/1/1,l3leaf,ISMS1OTBL02A,Ethernet25/1,True
spine,ISMS1OTSP01A,Ethernet3/2/1,l3leaf,HS11GOTAGG04A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet3/3/1,l3leaf,HS11AOTAGG04A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet3/4/1,l3leaf,HS11CWOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet3/5/1,l3leaf,HS11BEOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet4/1/1,l3leaf,HS11JOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet4/2/1,l3leaf,HS11COTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet4/3/1,l3leaf,HS11JWOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet4/4/1,l3leaf,HS11KEOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet4/5/1,l3leaf,HSM3XNOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet5/1/1,l3leaf,HS11JOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet5/2/1,l3leaf,HS11COTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet5/3/1,l3leaf,HS11JWOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet5/4/1,l3leaf,HS11KEOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet5/5/1,l3leaf,HSM3XNOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet6/1/1,l3leaf,HS11JOTAGG03A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet6/2/1,l3leaf,HS11COTAGG03A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet6/3/1,l3leaf,HS11GWOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet6/4/1,l3leaf,HS11HEOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet6/5/1,l3leaf,HSM3XOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet7/1/1,l3leaf,HS11JOTAGG04A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet7/2/1,l3leaf,HS11COTAGG04A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet7/3/1,l3leaf,HS11GWOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet7/4/1,l3leaf,HS11HEOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet7/5/1,l3leaf,HSM3XOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet8/1/1,l3leaf,HS11GOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet8/2/1,l3leaf,HS11AOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet8/3/1,l3leaf,HS11EWOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet8/4/1,l3leaf,HS11DEOTAGG01A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet9/1/1,l3leaf,HS11GOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet9/2/1,l3leaf,HS11AOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet9/3/1,l3leaf,HS11EWOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP01A,Ethernet9/4/1,l3leaf,HS11DEOTAGG02A,Ethernet49/1,True
spine,ISMS1OTSP02A,Ethernet2/1/1,l3leaf,ISMS1OTBL01A,Ethernet26/1,True
spine,ISMS1OTSP02A,Ethernet2/2/1,l3leaf,HS11GOTAGG03A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet2/3/1,l3leaf,HS11AOTAGG03A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet2/4/1,l3leaf,HS11CWOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet2/5/1,l3leaf,HS11BEOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet3/1/1,l3leaf,ISMS1OTBL02A,Ethernet26/1,True
spine,ISMS1OTSP02A,Ethernet3/2/1,l3leaf,HS11GOTAGG04A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet3/3/1,l3leaf,HS11AOTAGG04A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet3/4/1,l3leaf,HS11CWOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet3/5/1,l3leaf,HS11BEOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet4/1/1,l3leaf,HS11JOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet4/2/1,l3leaf,HS11COTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet4/3/1,l3leaf,HS11JWOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet4/4/1,l3leaf,HS11KEOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet4/5/1,l3leaf,HSM3XNOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet5/1/1,l3leaf,HS11JOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet5/2/1,l3leaf,HS11COTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet5/3/1,l3leaf,HS11JWOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet5/4/1,l3leaf,HS11KEOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet5/5/1,l3leaf,HSM3XNOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet6/1/1,l3leaf,HS11JOTAGG03A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet6/2/1,l3leaf,HS11COTAGG03A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet6/3/1,l3leaf,HS11GWOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet6/4/1,l3leaf,HS11HEOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet6/5/1,l3leaf,HSM3XOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet7/1/1,l3leaf,HS11JOTAGG04A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet7/2/1,l3leaf,HS11COTAGG04A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet7/3/1,l3leaf,HS11GWOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet7/4/1,l3leaf,HS11HEOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet7/5/1,l3leaf,HSM3XOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet8/1/1,l3leaf,HS11GOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet8/2/1,l3leaf,HS11AOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet8/3/1,l3leaf,HS11EWOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet8/4/1,l3leaf,HS11DEOTAGG01A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet9/1/1,l3leaf,HS11GOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet9/2/1,l3leaf,HS11AOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet9/3/1,l3leaf,HS11EWOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP02A,Ethernet9/4/1,l3leaf,HS11DEOTAGG02A,Ethernet50/1,True
spine,ISMS1OTSP03A,Ethernet2/1/1,l3leaf,ISMS1OTBL01A,Ethernet27/1,True
spine,ISMS1OTSP03A,Ethernet2/2/1,l3leaf,HS11GOTAGG03A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet2/3/1,l3leaf,HS11AOTAGG03A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet2/4/1,l3leaf,HS11CWOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet2/5/1,l3leaf,HS11BEOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet3/1/1,l3leaf,ISMS1OTBL02A,Ethernet27/1,True
spine,ISMS1OTSP03A,Ethernet3/2/1,l3leaf,HS11GOTAGG04A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet3/3/1,l3leaf,HS11AOTAGG04A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet3/4/1,l3leaf,HS11CWOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet3/5/1,l3leaf,HS11BEOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet4/1/1,l3leaf,HS11JOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet4/2/1,l3leaf,HS11COTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet4/3/1,l3leaf,HS11JWOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet4/4/1,l3leaf,HS11KEOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet4/5/1,l3leaf,HSM3XNOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet5/1/1,l3leaf,HS11JOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet5/2/1,l3leaf,HS11COTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet5/3/1,l3leaf,HS11JWOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet5/4/1,l3leaf,HS11KEOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet5/5/1,l3leaf,HSM3XNOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet6/1/1,l3leaf,HS11JOTAGG03A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet6/2/1,l3leaf,HS11COTAGG03A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet6/3/1,l3leaf,HS11GWOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet6/4/1,l3leaf,HS11HEOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet6/5/1,l3leaf,HSM3XOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet7/1/1,l3leaf,HS11JOTAGG04A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet7/2/1,l3leaf,HS11COTAGG04A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet7/3/1,l3leaf,HS11GWOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet7/4/1,l3leaf,HS11HEOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet7/5/1,l3leaf,HSM3XOTAGG02A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet8/1/1,l3leaf,HS11GOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet8/2/1,l3leaf,HS11AOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet8/3/1,l3leaf,HS11EWOTAGG01A,Ethernet51/1,True
spine,ISMS1OTSP03A,Ethernet8/4/1,l3leaf,HS11DEOTAGG01A,Ethernet51/1,True
