Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,isms1otsp01a,Ethernet2/1/1,l3leaf,isms1otbl01aa,Ethernet25/1,True
spine,isms1otsp01a,Ethernet2/2/1,l3leaf,is11gotagg02aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet2/3/1,l3leaf,is11aotagg02aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet2/4/1,l3leaf,is11cwotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet2/5/1,l3leaf,is11beotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet3/1/1,l3leaf,isms1otbl01ba,Ethernet25/1,True
spine,isms1otsp01a,Ethernet3/2/1,l3leaf,is11gotagg02ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet3/3/1,l3leaf,is11aotagg02ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet3/4/1,l3leaf,is11cwotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet3/5/1,l3leaf,is11beotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet4/1/1,l3leaf,is11jotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet4/2/1,l3leaf,is11cotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet4/3/1,l3leaf,is11jwotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet4/4/1,l3leaf,is11keotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet4/5/1,l3leaf,ism3xnotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet5/1/1,l3leaf,is11jotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet5/2/1,l3leaf,is11cotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet5/3/1,l3leaf,is11jwotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet5/4/1,l3leaf,is11keotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet5/5/1,l3leaf,ism3xnotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet6/1/1,l3leaf,is11jotagg02aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet6/2/1,l3leaf,is11cotagg02aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet6/3/1,l3leaf,is11gwotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet6/4/1,l3leaf,is11heotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet6/5/1,l3leaf,ism3xotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet7/1/1,l3leaf,is11jotagg02ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet7/2/1,l3leaf,is11cotagg02ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet7/3/1,l3leaf,is11gwotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet7/4/1,l3leaf,is11heotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet7/5/1,l3leaf,ism3xotagg01ba,Ethernet49/1,True
spine,isms1otsp01a,Ethernet8/1/1,l3leaf,is11gotagg01aa,Ethernet49/1,True
spine,isms1otsp01a,Ethernet8/2/1,l3leaf,is11aotagg01aa,Ethernet49/1,True
