Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,ismdc1sp01a,Ethernet1/1,l3leaf,ismdc1bl01aa,Ethernet25/1,True
spine,ismdc1sp01a,Ethernet2/1,l3leaf,ismdc1bl01ba,Ethernet25/1,True
spine,ismdc1sp01a,Ethernet3/1,l3leaf,DC1-CL1,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet4/1,l3leaf,DC1-CL2,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet5/1,l3leaf,DC1-CL3,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet6/1,l3leaf,DC1-CL4,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet7/1,l3leaf,DC1-CL5,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet8/1,l3leaf,DC1-CL6,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet9/1,l3leaf,DC1-CL7,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet10/1,l3leaf,DC1-CL8,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet11/1,l3leaf,DC1-CL9,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet12/1,l3leaf,DC1-CL10,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet13/1,l3leaf,DC1-CL11,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet14/1,l3leaf,DC1-CL12,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet15/1,l3leaf,DC1-CL13,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet16/1,l3leaf,DC1-CL14,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet17/1,l3leaf,DC1-CL15,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet18/1,l3leaf,DC1-CL16,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet19/1,l3leaf,DC1-CL17,Ethernet49/1,True
spine,ismdc1sp01a,Ethernet20/1,l3leaf,DC1-CL18,Ethernet49/1,True
spine,ismdc1sp02a,Ethernet1/1,l3leaf,ismdc1bl01aa,Ethernet26/1,True
spine,ismdc1sp02a,Ethernet2/1,l3leaf,ismdc1bl01ba,Ethernet26/1,True
spine,ismdc1sp02a,Ethernet3/1,l3leaf,DC1-CL1,Ethernet50/1,True
spine,ismdc1sp02a,Ethernet4/1,l3leaf,DC1-CL2,Ethernet50/1,True
spine,ismdc1sp02a,Ethernet5/1,l3leaf,DC1-CL3,Ethernet50/1,True
spine,ismdc1sp02a,Ethernet6/1,l3leaf,DC1-CL4,Ethernet50/1,True
spine,ismdc1sp02a,Ethernet7/1,l3leaf,DC1-CL5,Ethernet50/1,True
