Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,isms1itsp01a,Ethernet3/1/1,l3leaf,isms1itbl01a,Ethernet25/1,True
spine,isms1itsp01a,Ethernet3/2/1,l3leaf,is11cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/3/1,l3leaf,is11keit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/4/1,l3leaf,ism2wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/5/1,l3leaf,is00ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/6/1,l3leaf,is02ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/1/1,l3leaf,isms1itbl02a,Ethernet25/1,True
spine,isms1itsp01a,Ethernet4/2/1,l3leaf,is11ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/3/1,l3leaf,is11heit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/4/1,l3leaf,ism3xnit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/5/1,l3leaf,is00bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/6/1,l3leaf,is02bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/1/1,l3leaf,ismitagg01aa,Ethernet49/1,True
spine,isms1itsp01a,Ethernet5/2/1,l3leaf,is11jwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/3/1,l3leaf,is11deit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/4/1,l3leaf,ism3xnit02a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/5/1,l3leaf,is00cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/6/1,l3leaf,is03ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/1/1,l3leaf,ismitagg01ba,Ethernet49/1,True
spine,isms1itsp01a,Ethernet6/2/1,l3leaf,is11gwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/3/1,l3leaf,is11beit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/4/1,l3leaf,ism3xsit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/5/1,l3leaf,is01ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/6/1,l3leaf,is03bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/1/1,l3leaf,is11jit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/2/1,l3leaf,is11ewit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/3/1,l3leaf,ism0wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/4/1,l3leaf,ism3xsit02a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/5/1,l3leaf,is01bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/6/1,l3leaf,ism1yit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/1/1,l3leaf,is11git01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/2/1,l3leaf,is11cwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/3/1,l3leaf,ism1wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/4/1,l3leaf,ism3wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/5/1,l3leaf,is01cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/6/1,l3leaf,ism1vit01a,Ethernet1/1/1,True
spine,isms1itsp02a,Ethernet3/1/1,l3leaf,isms1itbl01a,Ethernet26/1,True
